Timestamp,Latitude,Longitude,Altitude
17:11:16  11623,18.6357435,73.8716118,617.0
17:11:16  12136,18.6357453,73.8716093,617.0
17:11:17  12295,18.635747,73.8716066,617.0
17:11:17  12580,18.6357486,73.871604,617.0
17:11:17  12508,18.63575,73.8716011,617.0
17:11:17  12367,18.6357515,73.8715986,617.0
17:11:17  12163,18.635753,73.871596,617.0
17:11:17  11965,18.6357543,73.8715935,617.0
17:11:17  11943,18.635756,73.871591,617.0
17:11:17  12408,18.6357576,73.8715883,617.0
17:11:17  11919,18.6357591,73.8715861,617.0
17:11:17  11886,18.6357608,73.871584,617.0
17:11:18  11991,18.6357625,73.8715818,617.0
17:11:18  11758,18.635764,73.8715796,617.0
17:11:18  11682,18.6357655,73.8715775,617.0
17:11:18  11645,18.635767,73.8715751,617.0
17:11:18  11936,18.6357688,73.8715728,617.0
17:11:18  11737,18.6357703,73.8715703,617.0
17:11:18  11712,18.6357718,73.871568,617.0
17:11:18  11943,18.6357735,73.8715655,617.0
17:11:18  11815,18.635775,73.8715631,617.0
17:11:18  11849,18.6357766,73.871561,617.0
17:11:19  11476,18.6357781,73.8715585,617.0
17:11:19  11704,18.6357798,73.871556,617.0
17:11:19  12093,18.6357815,73.8715536,617.0
17:11:19  12117,18.6357831,73.8715511,617.0
17:11:19  11962,18.6357846,73.8715486,617.0
17:11:19  11699,18.6357863,73.8715463,617.0
17:11:19  12054,18.6357876,73.8715436,617.0
17:11:19  12384,18.6357893,73.871541,617.0
17:11:19  12265,18.6357908,73.8715386,617.0
17:11:19  12536,18.6357926,73.871536,617.0
17:11:20  13141,18.6357945,73.871533,617.0
17:11:20  12893,18.6357963,73.8715305,617.0
17:11:20  12830,18.635798,73.8715276,617.0
17:11:20  12419,18.6357995,73.871525,617.0
17:11:20  12726,18.6358011,73.8715223,617.0
17:11:20  12139,18.6358025,73.8715196,617.0
17:11:20  12593,18.635804,73.8715166,617.0
17:11:20  13419,18.6358055,73.8715133,617.0
17:11:20  13669,18.635807,73.8715101,617.0
17:11:20  12856,18.6358085,73.8715073,617.0
17:11:21  12576,18.63581,73.8715045,617.0
17:11:21  12917,18.6358118,73.8715016,617.0
17:11:21  12386,18.6358133,73.871499,617.0
17:11:21  12406,18.635815,73.8714963,617.0
17:11:21  12867,18.6358168,73.8714933,617.0
17:11:21  12947,18.6358183,73.8714905,617.0
17:11:21  13067,18.63582,73.8714875,617.0
17:11:21  12817,18.6358216,73.8714848,617.0
17:11:21  12960,18.6358235,73.871482,617.0
17:11:21  13178,18.6358251,73.871479,617.0
17:11:22  13189,18.6358268,73.8714761,617.0
17:11:22  13458,18.6358286,73.8714731,617.0
17:11:22  13660,18.6358306,73.8714701,617.0
17:11:22  14171,18.6358326,73.871467,617.0
17:11:22  14164,18.6358346,73.871464,617.0
17:11:22  14265,18.6358366,73.8714608,617.0
17:11:22  14543,18.6358388,73.8714576,617.0
17:11:22  14886,18.6358408,73.8714543,617.0
17:11:22  14523,18.6358426,73.8714511,617.0
17:11:22  15064,18.635845,73.8714478,617.0
17:11:23  15340,18.6358471,73.8714446,617.0
17:11:23  14984,18.6358491,73.8714415,617.0
17:11:23  14840,18.6358511,73.8714383,617.0
17:11:23  15288,18.6358533,73.871435,617.0
17:11:23  15475,18.6358555,73.8714315,617.0
17:11:23  15047,18.6358575,73.8714283,617.0
17:11:23  15191,18.6358596,73.871425,617.0
17:11:23  15395,18.6358616,73.8714216,617.0
17:11:23  15506,18.6358638,73.8714183,617.0
17:11:23  15062,18.635866,73.871415,617.0
17:11:24  14834,18.635868,73.871412,617.0
17:11:24  14990,18.6358701,73.8714086,617.0
17:11:24  14567,18.6358721,73.8714056,617.0
17:11:24  14667,18.6358743,73.8714025,617.0
17:11:24  14545,18.6358763,73.8713993,617.0
17:11:24  14240,18.6358783,73.8713965,617.0
17:11:24  14325,18.6358803,73.8713933,617.0
17:11:24  14021,18.6358823,73.8713903,617.0
17:11:24  14077,18.6358841,73.8713873,617.0
17:11:24  13791,18.6358861,73.8713843,617.0
17:11:25  13597,18.6358881,73.8713813,617.0
17:11:25  13825,18.6358901,73.8713783,617.0
17:11:25  13673,18.6358921,73.8713753,617.0
17:11:25  13621,18.635894,73.8713723,617.0
17:11:25  13697,18.635896,73.8713693,617.0
17:11:25  13558,18.635898,73.8713665,617.0
17:11:25  13852,18.6358998,73.8713633,617.0
17:11:25  13443,18.6359018,73.8713605,617.0
17:11:25  13632,18.6359036,73.8713575,617.0
17:11:25  13362,18.6359055,73.8713545,617.0
17:11:26  13221,18.6359073,73.8713516,617.0
17:11:26  12960,18.6359091,73.8713488,617.0
17:11:26  12978,18.6359108,73.8713458,617.0
17:11:26  12993,18.6359126,73.871343,617.0
17:11:26  12717,18.6359143,73.8713401,617.0
17:11:26  12615,18.6359161,73.8713375,617.0
17:11:26  12715,18.6359178,73.8713345,617.0
17:11:26  12206,18.6359196,73.871332,617.0
17:11:26  12169,18.6359213,73.8713293,617.0
17:11:26  12036,18.635923,73.8713266,617.0
17:11:27  11784,18.6359245,73.871324,617.0
17:11:27  12060,18.6359261,73.8713211,617.0
17:11:27  11969,18.6359278,73.8713185,617.0
17:11:27  11869,18.6359295,73.8713158,617.0
17:11:27  12013,18.6359311,73.8713131,617.0
17:11:27  12026,18.635933,73.8713105,617.0
17:11:27  11730,18.6359345,73.8713078,617.0
17:11:27  11676,18.6359365,73.8713055,617.0
17:11:27  11932,18.6359383,73.871303,617.0
17:11:27  11563,18.6359398,73.8713003,617.0
17:11:28  11712,18.6359416,73.871298,617.0
17:11:28  12025,18.6359433,73.8712953,617.0
17:11:28  12095,18.635945,73.8712925,617.0
17:11:28  11863,18.6359466,73.87129,617.0
17:11:28  11591,18.6359481,73.8712875,617.0
17:11:28  11823,18.6359498,73.8712848,617.0
17:11:28  12162,18.6359515,73.871282,617.0
17:11:28  11665,18.635953,73.8712795,617.0
17:11:28  12062,18.6359546,73.8712768,617.0
17:11:28  12089,18.6359563,73.871274,617.0
17:11:29  11871,18.6359578,73.8712713,617.0
17:11:29  12158,18.6359596,73.8712686,617.0
17:11:29  12249,18.6359613,73.871266,617.0
17:11:29  11871,18.635963,73.8712633,617.0
17:11:29  11775,18.6359646,73.8712606,617.0
17:11:29  12075,18.6359663,73.871258,617.0
17:11:29  12334,18.6359681,73.8712553,617.0
17:11:29  12195,18.6359698,73.8712525,617.0
17:11:29  12126,18.6359713,73.8712498,617.0
17:11:29  11747,18.6359728,73.8712471,616.0
17:11:30  11747,18.6359745,73.8712445,616.0
17:11:30  12312,18.6359763,73.8712418,616.0
17:11:30  12058,18.635978,73.871239,616.0
17:11:30  11665,18.6359796,73.8712365,616.0
17:11:30  12045,18.6359813,73.8712336,616.0
17:11:30  12304,18.635983,73.871231,616.0
17:11:30  11975,18.6359846,73.8712283,616.0
17:11:30  11708,18.6359863,73.8712258,616.0
17:11:30  11739,18.6359878,73.8712231,616.0
17:11:30  12091,18.6359895,73.8712205,616.0
17:11:31  11993,18.6359913,73.8712178,616.0
17:11:31  11880,18.635993,73.8712151,617.0
17:11:31  11575,18.6359946,73.8712126,617.0
17:11:31  12019,18.6359963,73.87121,617.0
17:11:31  11889,18.635998,73.8712073,617.0
17:11:31  11524,18.6359996,73.8712048,617.0
17:11:31  11387,18.6360013,73.8712021,617.0
17:11:31  11458,18.636003,73.8711996,617.0
17:11:31  11465,18.6360046,73.871197,617.0
17:11:31  11373,18.6360063,73.8711945,617.0
17:11:32  11610,18.6360081,73.8711918,617.0
17:11:32  11234,18.6360096,73.8711893,617.0
17:11:32  11587,18.6360116,73.8711866,617.0
17:11:32  11395,18.6360135,73.8711841,617.0
17:11:32  11454,18.6360153,73.8711815,617.0
17:11:32  11663,18.636017,73.8711786,617.0
17:11:32  11326,18.6360188,73.871176,617.0
17:11:32  11680,18.6360206,73.8711733,617.0
17:11:32  11086,18.6360223,73.871171,617.0
17:11:32  10973,18.636024,73.8711685,617.0
17:11:33  11617,18.6360258,73.8711656,617.0
17:11:33  11228,18.6360275,73.8711633,617.0
17:11:33  11504,18.6360293,73.8711606,617.0
17:11:33  11558,18.6360311,73.8711581,617.0
17:11:33  10861,18.6360328,73.8711558,617.0
17:11:33  11069,18.6360346,73.8711533,617.0
17:11:33  10999,18.6360361,73.871151,617.0
17:11:33  10184,18.6360375,73.8711486,617.0
17:11:33  10593,18.6360391,73.8711465,617.0
17:11:33  10458,18.6360408,73.8711443,617.0
17:11:34  9574,18.636042,73.8711421,617.0
17:11:34  9521,18.6360433,73.87114,617.0
17:11:34  9156,18.6360445,73.871138,617.0
17:11:34  9119,18.6360458,73.871136,617.0
17:11:34  8739,18.6360471,73.8711341,617.0
17:11:34  8637,18.6360481,73.871132,617.0
17:11:34  8287,18.6360491,73.8711301,617.0
17:11:34  8256,18.6360501,73.8711283,617.0
17:11:34  8280,18.6360513,73.8711266,617.0
17:11:34  8237,18.6360523,73.8711248,617.0
17:11:35  7943,18.6360535,73.871123,617.0
17:11:35  8196,18.6360545,73.871121,617.0
17:11:35  8021,18.6360553,73.871119,617.0
17:11:35  8585,18.6360563,73.871117,617.0
